date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-31-2020,2,0,0,2,0.0,0.0,1
04-01-2020,2,0,0,2,0.0,0.0,1.0
04-02-2020,3,0,0,3,0.0,0.0,1.5
04-03-2020,3,0,0,3,0.0,0.0,1.0
04-04-2020,3,0,0,3,0.0,0.0,1.0
04-05-2020,3,0,0,3,0.0,0.0,1.0
04-06-2020,3,0,0,3,0.0,0.0,1.0
04-07-2020,3,0,0,3,0.0,0.0,1.0
04-08-2020,3,0,0,3,0.0,0.0,1.0
04-09-2020,3,0,0,3,0.0,0.0,1.0
04-10-2020,3,0,0,3,0.0,0.0,1.0
04-11-2020,5,0,0,5,0.0,0.0,1.6666666666666665
04-12-2020,5,0,0,5,0.0,0.0,1.0
04-13-2020,5,1,0,5,20.0,0.0,1.0
04-14-2020,5,1,0,5,20.0,0.0,1.0
04-15-2020,5,1,0,5,20.0,0.0,1.0
04-16-2020,5,1,0,5,20.0,0.0,1.0
04-17-2020,5,1,0,5,20.0,0.0,1.0
04-18-2020,5,1,0,5,20.0,0.0,1.0
04-19-2020,5,1,0,5,20.0,0.0,1.0
04-20-2020,5,1,4,1,20.0,80.0,1.0
04-21-2020,5,1,4,1,20.0,80.0,1.0
04-22-2020,11,1,4,7,9.09,36.36,2.2
04-23-2020,11,1,4,7,9.09,36.36,1.0
04-24-2020,11,1,4,7,9.09,36.36,1.0
04-25-2020,11,1,4,7,9.09,36.36,1.0
04-26-2020,11,1,4,7,9.09,36.36,1.0
04-27-2020,11,1,4,7,9.09,36.36,1.0
04-28-2020,11,1,4,7,9.09,36.36,1.0
04-29-2020,11,1,4,7,9.09,36.36,1.0
04-30-2020,11,1,4,7,9.09,36.36,1.0
05-01-2020,11,1,4,7,9.09,36.36,1.0
05-02-2020,15,1,7,8,6.67,46.67,1.3636363636363638
05-03-2020,15,1,7,8,6.67,46.67,1.0
05-04-2020,15,1,7,8,6.67,46.67,1.0
05-05-2020,15,1,7,8,6.67,46.67,1.0
05-06-2020,15,1,7,8,6.67,46.67,1.0
05-07-2020,15,1,7,8,6.67,46.67,1.0
05-08-2020,15,1,7,8,6.67,46.67,1.0
05-09-2020,15,1,7,8,6.67,46.67,1.0
05-10-2020,15,1,7,8,6.67,46.67,1.0
05-11-2020,15,1,7,8,6.67,46.67,1.0
05-12-2020,15,1,7,8,6.67,46.67,1.0
05-13-2020,15,1,7,8,6.67,46.67,1.0
05-14-2020,15,1,7,8,6.67,46.67,1.0
05-15-2020,15,1,7,8,6.67,46.67,1.0
05-16-2020,15,1,7,8,6.67,46.67,1.0
05-17-2020,23,1,15,8,4.35,65.22,1.5333333333333332
05-18-2020,42,1,20,22,2.38,47.62,1.8260869565217392
05-19-2020,42,1,20,22,2.38,47.62,1.0
05-20-2020,42,1,20,22,2.38,47.62,1.0
05-21-2020,42,1,20,22,2.38,47.62,1.0
05-22-2020,42,1,20,22,2.38,47.62,1.0
05-23-2020,42,1,20,22,2.38,47.62,1.0
05-24-2020,42,1,20,22,2.38,47.62,1.0
05-25-2020,42,1,20,22,2.38,47.62,1.0
05-26-2020,42,1,20,22,2.38,47.62,1.0
05-27-2020,42,1,20,22,2.38,47.62,1.0
05-28-2020,42,1,20,22,2.38,47.62,1.0
05-29-2020,42,1,20,22,2.38,47.62,1.0
05-30-2020,63,1,33,30,1.59,52.38,1.5
05-31-2020,63,1,33,30,1.59,52.38,1.0
06-01-2020,63,1,33,30,1.59,52.38,1.0
06-02-2020,63,1,33,30,1.59,52.38,1.0
06-03-2020,63,1,33,30,1.59,52.38,1.0
06-04-2020,63,1,33,30,1.59,52.38,1.0
06-05-2020,63,1,33,30,1.59,52.38,1.0
06-06-2020,83,1,45,38,1.2,54.22,1.3174603174603174
06-07-2020,83,1,45,38,1.2,54.22,1.0
06-08-2020,83,1,45,38,1.2,54.22,1.0
06-09-2020,83,1,45,38,1.2,54.22,1.0
06-10-2020,83,1,45,38,1.2,54.22,1.0
06-11-2020,85,1,45,40,1.18,52.94,1.0240963855421688
06-12-2020,85,1,45,40,1.18,52.94,1.0
06-13-2020,85,1,45,40,1.18,52.94,1.0
06-14-2020,85,1,45,40,1.18,52.94,1.0
06-15-2020,85,1,45,40,1.18,52.94,1.0
06-16-2020,104,1,75,29,0.96,72.12,1.223529411764706
06-17-2020,104,1,75,29,0.96,72.12,1.0
06-18-2020,104,1,75,29,0.96,72.12,1.0
06-19-2020,104,1,75,29,0.96,72.12,1.0
06-20-2020,104,1,75,29,0.96,72.12,1.0
06-21-2020,144,1,93,51,0.69,64.58,1.3846153846153846
06-22-2020,144,1,93,51,0.69,64.58,1.0
06-23-2020,144,1,93,51,0.69,64.58,1.0
06-24-2020,144,1,93,51,0.69,64.58,1.0
06-25-2020,144,1,93,51,0.69,64.58,1.0
06-26-2020,144,1,93,51,0.69,64.58,1.0
06-27-2020,170,1,115,55,0.59,67.65,1.1805555555555556
06-28-2020,170,1,115,55,0.59,67.65,1.0
06-29-2020,170,1,115,55,0.59,67.65,1.0
06-30-2020,170,1,115,55,0.59,67.65,1.0
07-01-2020,170,1,115,55,0.59,67.65,1.0
07-02-2020,170,1,115,55,0.59,67.65,1.0
07-03-2020,191,1,118,73,0.52,61.78,1.1235294117647059
07-04-2020,191,1,118,73,0.52,61.78,1.0
07-05-2020,191,1,118,73,0.52,61.78,1.0
07-06-2020,191,1,118,73,0.52,61.78,1.0
07-07-2020,191,1,118,73,0.52,61.78,1.0
07-08-2020,191,1,118,73,0.52,61.78,1.0
07-09-2020,191,1,118,73,0.52,61.78,1.0
07-10-2020,191,1,118,73,0.52,61.78,1.0
07-11-2020,191,1,118,73,0.52,61.78,1.0
07-12-2020,191,1,118,73,0.52,61.78,1.0
07-13-2020,269,1,207,62,0.37,76.95,1.4083769633507854
07-14-2020,269,1,207,62,0.37,76.95,1.0
07-15-2020,269,1,207,62,0.37,76.95,1.0
07-16-2020,303,1,207,96,0.33,68.32,1.1263940520446096
07-17-2020,310,1,207,103,0.32,66.77,1.023102310231023
07-18-2020,310,1,207,103,0.32,66.77,1.0
07-19-2020,310,1,207,103,0.32,66.77,1.0
07-20-2020,322,1,207,115,0.31,64.29,1.038709677419355
07-21-2020,328,1,207,121,0.3,63.11,1.0186335403726707
07-22-2020,328,1,207,121,0.3,63.11,1.0
07-23-2020,345,1,270,75,0.29,78.26,1.0518292682926829
07-24-2020,345,1,270,75,0.29,78.26,1.0
07-25-2020,361,1,279,82,0.28,77.29,1.046376811594203
07-26-2020,361,1,279,82,0.28,77.29,1.0
07-27-2020,378,1,301,77,0.26,79.63,1.0470914127423823
07-28-2020,378,1,301,77,0.26,79.63,1.0
07-29-2020,387,1,304,83,0.26,78.55,1.0238095238095237
07-30-2020,387,1,304,83,0.26,78.55,1.0
07-31-2020,387,1,304,83,0.26,78.55,1.0
08-01-2020,395,1,304,91,0.25,76.96,1.020671834625323
08-02-2020,395,1,304,91,0.25,76.96,1.0
08-03-2020,395,1,304,91,0.25,76.96,1.0
08-04-2020,395,1,304,91,0.25,76.96,1.0
08-05-2020,395,1,304,91,0.25,76.96,1.0
08-06-2020,400,1,304,96,0.25,76.0,1.0126582278481013
08-07-2020,400,1,304,96,0.25,76.0,1.0
08-08-2020,405,1,312,93,0.25,77.04,1.0125
08-09-2020,408,1,315,93,0.25,77.21,1.0074074074074073
08-10-2020,408,1,315,93,0.25,77.21,1.0
08-11-2020,408,1,315,93,0.25,77.21,1.0
08-12-2020,409,1,315,94,0.24,77.02,1.0024509803921569
08-13-2020,410,1,315,95,0.24,76.83,1.0024449877750612
08-14-2020,412,1,315,97,0.24,76.46,1.0048780487804878
08-15-2020,412,1,315,97,0.24,76.46,1.0
08-16-2020,413,1,315,98,0.24,76.27,1.0024271844660195
08-17-2020,413,1,336,77,0.24,81.36,1.0
08-18-2020,416,1,336,80,0.24,80.77,1.0072639225181599
08-19-2020,422,1,336,86,0.24,79.62,1.0144230769230769
08-20-2020,422,1,336,86,0.24,79.62,1.0
08-21-2020,426,1,336,90,0.23,78.87,1.009478672985782
08-22-2020,429,1,336,93,0.23,78.32,1.0070422535211268
08-23-2020,430,1,336,94,0.23,78.14,1.0023310023310024
08-24-2020,430,1,345,85,0.23,80.23,1.0
