date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-27-2020,1,0,0,1,0.0,0.0,1
02-28-2020,1,0,0,1,0.0,0.0,1.0
02-29-2020,1,0,0,1,0.0,0.0,1.0
03-01-2020,1,0,0,1,0.0,0.0,1.0
03-02-2020,1,0,0,1,0.0,0.0,1.0
03-03-2020,2,0,0,2,0.0,0.0,2.0
03-04-2020,2,0,0,2,0.0,0.0,1.0
03-05-2020,3,0,0,3,0.0,0.0,1.5
03-06-2020,10,0,0,10,0.0,0.0,3.3333333333333335
03-07-2020,10,0,0,10,0.0,0.0,1.0
03-08-2020,10,0,0,10,0.0,0.0,1.0
03-09-2020,10,0,0,10,0.0,0.0,1.0
03-10-2020,12,0,0,12,0.0,0.0,1.2
03-11-2020,16,0,0,16,0.0,0.0,1.3333333333333333
03-12-2020,16,0,0,16,0.0,0.0,1.0
03-13-2020,79,0,0,79,0.0,0.0,4.9375
03-14-2020,115,0,0,115,0.0,0.0,1.4556962025316456
03-15-2020,171,0,1,170,0.0,0.58,1.4869565217391305
03-16-2020,205,0,1,204,0.0,0.49,1.198830409356725
03-17-2020,225,0,1,224,0.0,0.44,1.0975609756097562
03-18-2020,258,0,1,257,0.0,0.39,1.1466666666666667
03-19-2020,267,0,1,266,0.0,0.37,1.0348837209302326
03-20-2020,283,0,1,282,0.0,0.35,1.0599250936329587
03-21-2020,306,0,1,305,0.0,0.33,1.0812720848056536
03-22-2020,326,0,4,322,0.0,1.23,1.065359477124183
03-23-2020,352,0,4,348,0.0,1.14,1.0797546012269938
03-24-2020,369,0,7,362,0.0,1.9,1.0482954545454546
03-25-2020,404,1,8,396,0.25,1.98,1.094850948509485
03-26-2020,538,1,8,530,0.19,1.49,1.3316831683168318
03-27-2020,575,1,11,564,0.17,1.91,1.0687732342007434
03-28-2020,645,1,20,625,0.16,3.1,1.1217391304347826
03-29-2020,679,3,20,659,0.44,2.95,1.0527131782945736
03-30-2020,715,3,20,695,0.42,2.8,1.053019145802651
03-31-2020,745,4,26,719,0.54,3.49,1.0419580419580419
04-01-2020,779,5,33,746,0.64,4.24,1.0456375838926175
04-02-2020,858,11,45,813,1.28,5.24,1.1014120667522465
04-03-2020,961,12,48,913,1.25,4.99,1.1200466200466201
04-04-2020,1039,13,59,980,1.25,5.68,1.081165452653486
04-05-2020,1097,15,62,1035,1.37,5.65,1.055822906641001
04-06-2020,1108,19,62,1046,1.71,5.6,1.0100273473108479
04-07-2020,1149,21,69,1080,1.83,6.01,1.0370036101083033
04-08-2020,1185,24,72,1113,2.03,6.08,1.031331592689295
04-09-2020,1207,24,83,1124,1.99,6.88,1.0185654008438818
04-10-2020,1258,24,93,1165,1.91,7.39,1.0422535211267605
04-11-2020,1304,24,93,1211,1.84,7.13,1.0365659777424483
04-12-2020,1309,25,98,1211,1.91,7.49,1.0038343558282208
04-13-2020,1332,28,102,1230,2.1,7.66,1.0175706646294882
04-14-2020,1373,31,115,1258,2.26,8.38,1.0307807807807807
04-15-2020,1400,35,117,1283,2.5,8.36,1.0196649672250546
04-16-2020,1434,36,133,1301,2.51,9.27,1.0242857142857142
04-17-2020,1459,38,145,1314,2.6,9.94,1.0174337517433751
04-18-2020,1512,38,162,1350,2.51,10.71,1.0363262508567512
04-19-2020,1528,40,164,1364,2.62,10.73,1.0105820105820107
04-20-2020,1535,40,165,1370,2.61,10.75,1.0045811518324608
04-21-2020,1552,43,169,1383,2.77,10.89,1.0110749185667753
04-22-2020,1559,44,184,1375,2.82,11.8,1.0045103092783505
04-23-2020,1592,45,192,1400,2.83,12.06,1.0211674150096215
04-24-2020,1605,46,206,1399,2.87,12.83,1.0081658291457287
04-25-2020,1635,46,228,1407,2.81,13.94,1.0186915887850467
04-26-2020,1643,49,233,1410,2.98,14.18,1.0048929663608563
04-27-2020,1647,50,233,1414,3.04,14.15,1.0024345709068776
04-28-2020,1660,50,240,1420,3.01,14.46,1.00789313904068
04-29-2020,1666,50,236,1430,3.0,14.17,1.0036144578313253
04-30-2020,1689,52,249,1440,3.08,14.74,1.0138055222088835
05-01-2020,1694,52,253,1441,3.07,14.94,1.0029603315571345
05-02-2020,1699,53,256,1443,3.12,15.07,1.0029515938606848
05-03-2020,1700,55,259,1441,3.24,15.24,1.0005885815185402
05-04-2020,1703,55,259,1444,3.23,15.21,1.001764705882353
05-05-2020,1711,55,261,1450,3.21,15.25,1.004697592483852
05-06-2020,1713,55,264,1449,3.21,15.41,1.0011689070718879
05-07-2020,1720,56,273,1447,3.26,15.87,1.0040863981319323
05-08-2020,1725,56,704,1021,3.25,40.81,1.002906976744186
05-09-2020,1733,60,747,986,3.46,43.1,1.0046376811594202
05-10-2020,1739,60,750,989,3.45,43.13,1.0034622042700518
05-11-2020,1741,61,751,990,3.5,43.14,1.0011500862564693
05-12-2020,1746,61,777,969,3.49,44.5,1.0028719126938541
05-13-2020,1751,61,777,974,3.48,44.37,1.0028636884306987
05-14-2020,1758,62,909,849,3.53,51.71,1.0039977155910909
