date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-25-2020,2,0,0,2,0.0,0.0,1
02-26-2020,2,0,0,2,0.0,0.0,1.0
02-27-2020,3,0,0,3,0.0,0.0,1.5
02-28-2020,3,0,0,3,0.0,0.0,1.0
02-29-2020,9,0,0,9,0.0,0.0,3.0
03-01-2020,14,0,0,14,0.0,0.0,1.5555555555555556
03-02-2020,18,0,0,18,0.0,0.0,1.2857142857142856
03-03-2020,21,0,0,21,0.0,0.0,1.1666666666666667
03-04-2020,29,0,0,29,0.0,0.0,1.380952380952381
03-05-2020,41,0,0,41,0.0,0.0,1.4137931034482758
03-06-2020,55,0,0,55,0.0,0.0,1.3414634146341464
03-07-2020,79,0,0,79,0.0,0.0,1.4363636363636363
03-08-2020,104,0,0,104,0.0,0.0,1.3164556962025316
03-09-2020,131,0,2,129,0.0,1.53,1.2596153846153846
03-10-2020,182,0,4,178,0.0,2.2,1.3893129770992365
03-11-2020,246,0,4,242,0.0,1.63,1.3516483516483517
03-12-2020,302,1,4,298,0.33,1.32,1.2276422764227641
03-13-2020,504,1,6,498,0.2,1.19,1.6688741721854305
03-14-2020,655,1,6,649,0.15,0.92,1.2996031746031746
03-15-2020,860,1,6,854,0.12,0.7,1.3129770992366412
03-16-2020,1018,3,6,1012,0.29,0.59,1.1837209302325582
03-17-2020,1332,3,1,1331,0.23,0.08,1.3084479371316307
03-18-2020,1646,4,9,1637,0.24,0.55,1.2357357357357357
03-19-2020,2013,6,9,2004,0.3,0.45,1.2229647630619684
03-20-2020,2388,6,9,2379,0.25,0.38,1.1862891207153503
03-21-2020,2814,8,9,2805,0.28,0.32,1.178391959798995
03-22-2020,3580,16,9,3571,0.45,0.25,1.2722103766879886
03-23-2020,4474,21,9,4465,0.47,0.2,1.2497206703910615
03-24-2020,5283,28,9,5274,0.53,0.17,1.1808225301743407
03-25-2020,5588,30,9,5579,0.54,0.16,1.0577323490441037
03-26-2020,6909,49,112,6797,0.71,1.62,1.2363994273443093
03-27-2020,7657,58,225,7432,0.76,2.94,1.108264582428716
03-28-2020,8271,68,225,8046,0.82,2.72,1.0801880632101346
03-29-2020,8788,86,479,8309,0.98,5.45,1.0625075565227904
03-30-2020,9618,108,636,8982,1.12,6.61,1.094446973145198
03-31-2020,10180,128,1095,9085,1.26,10.76,1.058432106467041
04-01-2020,10711,146,1436,9275,1.36,13.41,1.0521611001964637
04-02-2020,11129,158,1749,9380,1.42,15.72,1.039025301092335
04-03-2020,11524,168,2022,9502,1.46,17.55,1.0354928565010333
04-04-2020,11781,186,2507,9274,1.58,21.28,1.0223012842762929
04-05-2020,12051,204,2998,9053,1.69,24.88,1.022918258212376
04-06-2020,12297,220,3463,8834,1.79,28.16,1.0204132437142146
04-07-2020,12639,243,4046,8593,1.92,32.01,1.0278116613808246
04-08-2020,12942,273,4512,8430,2.11,34.86,1.0239734156183242
04-09-2020,13244,295,5240,8004,2.23,39.57,1.023334878689538
04-10-2020,13555,319,6064,7491,2.35,44.74,1.0234823316218664
04-11-2020,13806,337,6604,7202,2.44,47.83,1.018517152342309
04-12-2020,13945,350,6987,6958,2.51,50.1,1.0100680863392728
04-13-2020,14041,368,7343,6698,2.62,52.3,1.006884187880961
04-14-2020,14226,384,7633,6593,2.7,53.66,1.013175699736486
04-15-2020,14336,393,8098,6238,2.74,56.49,1.0077323211022071
04-16-2020,14476,410,8986,5490,2.83,62.08,1.009765625
04-17-2020,14595,431,9704,4891,2.95,66.49,1.008220502901354
04-18-2020,14671,443,10214,4457,3.02,69.62,1.0052072627612196
04-19-2020,14749,452,10501,4248,3.06,71.2,1.005316611001295
04-20-2020,14795,470,10631,4164,3.18,71.86,1.003118855515628
04-21-2020,14873,491,10971,3902,3.3,73.76,1.0052720513687057
04-22-2020,14925,510,11328,3597,3.42,75.9,1.0034962684058362
04-23-2020,15002,522,11694,3308,3.48,77.95,1.0051591289782245
04-24-2020,15071,530,11872,3199,3.52,78.77,1.0045993867484335
04-25-2020,15148,536,12103,3045,3.54,79.9,1.0051091500232234
04-26-2020,15225,542,12282,2943,3.56,80.67,1.005083179297597
04-27-2020,15274,549,12362,2912,3.59,80.93,1.0032183908045977
04-28-2020,15357,569,12580,2777,3.71,81.92,1.0054340709702763
04-29-2020,15402,580,12779,2623,3.77,82.97,1.0029302598163703
04-30-2020,15452,584,12907,2545,3.78,83.53,1.003246331645241
05-01-2020,15531,589,13110,2421,3.79,84.41,1.0051126067822935
05-02-2020,15558,596,13180,2378,3.83,84.72,1.0017384585667375
05-03-2020,15597,598,13228,2369,3.83,84.81,1.0025067489394524
05-04-2020,15621,600,13316,2305,3.84,85.24,1.0015387574533565
05-05-2020,15650,606,13462,2188,3.87,86.02,1.001856475257666
05-06-2020,15684,608,13639,2045,3.88,86.96,1.0021725239616612
05-07-2020,15752,609,13698,2054,3.87,86.96,1.0043356286661567
05-08-2020,15774,614,13836,1938,3.89,87.71,1.0013966480446927
05-09-2020,15833,615,13928,1905,3.88,87.97,1.0037403321922151
05-10-2020,15871,618,13991,1880,3.89,88.15,1.0024000505273796
05-11-2020,15882,620,14061,1821,3.9,88.53,1.0006930880221787
05-12-2020,15961,623,14148,1813,3.9,88.64,1.00497418461151
05-13-2020,15997,624,14304,1693,3.9,89.42,1.0022554977758287
05-14-2020,16058,626,14405,1653,3.9,89.71,1.0038132149778083
05-15-2020,16109,628,14471,1638,3.9,89.83,1.0031759870469548
05-16-2020,16201,629,14524,1677,3.88,89.65,1.0057110931777267
05-17-2020,16242,629,14563,1679,3.87,89.66,1.0025307079809889
05-18-2020,16269,629,14614,1655,3.87,89.83,1.0016623568526044
05-19-2020,16321,632,14678,1643,3.87,89.93,1.0031962628311513
05-20-2020,16353,633,14882,1471,3.87,91.0,1.0019606641749892
05-21-2020,16404,633,14951,1453,3.86,91.14,1.0031186938176482
05-22-2020,16436,635,15005,1431,3.86,91.29,1.0019507437210438
05-23-2020,16486,639,15037,1449,3.88,91.21,1.0030421027013872
05-24-2020,16503,640,15063,1440,3.88,91.27,1.001031177969186
05-25-2020,16539,641,15138,1401,3.88,91.53,1.0021814215597165
05-26-2020,16557,643,15182,1375,3.88,91.7,1.0010883366588064
05-27-2020,16591,645,15228,1363,3.89,91.78,1.0020535121096816
05-28-2020,16628,668,15286,1342,4.02,91.93,1.0022301247664396
05-29-2020,16655,668,15347,1308,4.01,92.15,1.0016237671397643
05-30-2020,16685,668,15520,1165,4.0,93.02,1.001801260882618
05-31-2020,16731,668,15593,1138,3.99,93.2,1.0027569673359304
06-01-2020,16733,668,15596,1137,3.99,93.21,1.000119538581077
06-02-2020,16759,669,15629,1130,3.99,93.26,1.001553815813064
06-03-2020,16771,670,15672,1099,3.99,93.45,1.0007160331762037
06-04-2020,16805,670,15717,1088,3.99,93.53,1.002027309045376
06-05-2020,16843,672,15742,1101,3.99,93.46,1.0022612317762571
06-06-2020,16898,672,15789,1109,3.98,93.44,1.0032654515228878
06-07-2020,16902,672,15793,1109,3.98,93.44,1.0002367144040716
06-08-2020,16968,672,15839,1129,3.96,93.35,1.0039048633297833
06-09-2020,16979,672,15875,1104,3.96,93.5,1.0006482791136257
06-10-2020,17005,673,15910,1095,3.96,93.56,1.001531303374757
06-11-2020,17034,674,15949,1085,3.96,93.63,1.0017053807703618
06-12-2020,17064,675,15985,1079,3.96,93.68,1.0017611835153224
06-13-2020,17078,677,16012,1066,3.96,93.76,1.0008204406938583
06-14-2020,17109,677,16059,1050,3.96,93.86,1.00181520084319
06-15-2020,17135,678,16066,1069,3.96,93.76,1.0015196680109884
06-16-2020,17189,681,16089,1100,3.96,93.6,1.0031514444120222
06-17-2020,17203,687,16099,1104,3.99,93.58,1.0008144743731455
06-18-2020,17223,688,16101,1122,3.99,93.49,1.0011625879207116
06-19-2020,17271,688,16141,1130,3.98,93.46,1.0027869709109911
06-20-2020,17323,688,16175,1148,3.97,93.37,1.0030108273985294
06-21-2020,17341,690,16197,1144,3.98,93.4,1.0010390809905905
06-22-2020,17380,690,16241,1139,3.97,93.45,1.002249005247679
06-23-2020,17408,693,16261,1147,3.98,93.41,1.0016110471806674
06-24-2020,17449,693,16282,1167,3.97,93.31,1.0023552389705883
06-25-2020,17477,698,16320,1157,3.99,93.38,1.0016046764857585
06-26-2020,17522,698,16348,1174,3.98,93.3,1.00257481261086
06-27-2020,17580,700,16371,1209,3.98,93.12,1.003310124415021
06-28-2020,17654,702,16401,1253,3.98,92.9,1.0042093287827076
06-29-2020,17723,703,16420,1303,3.97,92.65,1.0039084626713493
06-30-2020,17766,705,16478,1288,3.97,92.75,1.0024262258082717
07-01-2020,17873,705,16491,1382,3.94,92.27,1.0060227400652932
07-02-2020,17941,705,16514,1427,3.93,92.05,1.0038046214961114
07-03-2020,18050,705,16558,1492,3.91,91.73,1.006075469594783
07-04-2020,18165,705,16607,1558,3.88,91.42,1.006371191135734
07-05-2020,18280,706,16615,1665,3.86,90.89,1.0063308560418387
07-06-2020,18365,706,16647,1718,3.84,90.65,1.0046498905908097
07-07-2020,18421,706,16686,1735,3.83,90.58,1.0030492785189218
07-08-2020,18513,706,16721,1792,3.81,90.32,1.0049942999837143
07-09-2020,18615,706,16758,1857,3.79,90.02,1.0055096418732783
07-10-2020,18709,706,16808,1901,3.77,89.84,1.0050496911093205
07-11-2020,18783,706,16864,1919,3.76,89.78,1.0039553156234966
07-12-2020,18897,708,16952,1945,3.75,89.71,1.0060693180003195
07-13-2020,18948,708,17000,1948,3.74,89.72,1.0026988410858866
07-14-2020,19021,709,17073,1948,3.73,89.76,1.0038526493561326
07-15-2020,19154,710,17175,1979,3.71,89.67,1.0069922716997004
07-16-2020,19270,711,17244,2026,3.69,89.49,1.0060561762556124
07-17-2020,19439,711,17335,2104,3.66,89.18,1.0087701089776855
07-18-2020,19573,711,17501,2072,3.63,89.41,1.0068933587118678
07-19-2020,19655,711,17599,2056,3.62,89.54,1.0041894446431308
