date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-25-2020,2,0,0,2,0.0,0.0,1
02-26-2020,2,0,0,2,0.0,0.0,1.0
02-27-2020,3,0,0,3,0.0,0.0,1.5
02-28-2020,3,0,0,3,0.0,0.0,1.0
02-29-2020,9,0,0,9,0.0,0.0,3.0
03-01-2020,14,0,0,14,0.0,0.0,1.5555555555555556
03-02-2020,18,0,0,18,0.0,0.0,1.2857142857142856
03-03-2020,21,0,0,21,0.0,0.0,1.1666666666666667
03-04-2020,29,0,0,29,0.0,0.0,1.380952380952381
03-05-2020,41,0,0,41,0.0,0.0,1.4137931034482758
03-06-2020,55,0,0,55,0.0,0.0,1.3414634146341464
03-07-2020,79,0,0,79,0.0,0.0,1.4363636363636363
03-08-2020,104,0,0,104,0.0,0.0,1.3164556962025316
03-09-2020,131,0,2,129,0.0,1.53,1.2596153846153846
03-10-2020,182,0,4,178,0.0,2.2,1.3893129770992365
03-11-2020,246,0,4,242,0.0,1.63,1.3516483516483517
03-12-2020,302,1,4,298,0.33,1.32,1.2276422764227641
03-13-2020,504,1,6,498,0.2,1.19,1.6688741721854305
03-14-2020,655,1,6,649,0.15,0.92,1.2996031746031746
03-15-2020,860,1,6,854,0.12,0.7,1.3129770992366412
03-16-2020,1018,3,6,1012,0.29,0.59,1.1837209302325582
03-17-2020,1332,3,1,1331,0.23,0.08,1.3084479371316307
03-18-2020,1646,4,9,1637,0.24,0.55,1.2357357357357357
03-19-2020,2013,6,9,2004,0.3,0.45,1.2229647630619684
03-20-2020,2388,6,9,2379,0.25,0.38,1.1862891207153503
03-21-2020,2814,8,9,2805,0.28,0.32,1.178391959798995
03-22-2020,3580,16,9,3571,0.45,0.25,1.2722103766879886
03-23-2020,4474,21,9,4465,0.47,0.2,1.2497206703910615
03-24-2020,5283,28,9,5274,0.53,0.17,1.1808225301743407
03-25-2020,5588,30,9,5579,0.54,0.16,1.0577323490441037
03-26-2020,6909,49,112,6797,0.71,1.62,1.2363994273443093
03-27-2020,7657,58,225,7432,0.76,2.94,1.108264582428716
03-28-2020,8271,68,225,8046,0.82,2.72,1.0801880632101346
03-29-2020,8788,86,479,8309,0.98,5.45,1.0625075565227904
03-30-2020,9618,108,636,8982,1.12,6.61,1.094446973145198
03-31-2020,10180,128,1095,9085,1.26,10.76,1.058432106467041
04-01-2020,10711,146,1436,9275,1.36,13.41,1.0521611001964637
04-02-2020,11129,158,1749,9380,1.42,15.72,1.039025301092335
04-03-2020,11524,168,2022,9502,1.46,17.55,1.0354928565010333
04-04-2020,11781,186,2507,9274,1.58,21.28,1.0223012842762929
04-05-2020,12051,204,2998,9053,1.69,24.88,1.022918258212376
04-06-2020,12297,220,3463,8834,1.79,28.16,1.0204132437142146
04-07-2020,12639,243,4046,8593,1.92,32.01,1.0278116613808246
04-08-2020,12942,273,4512,8430,2.11,34.86,1.0239734156183242
04-09-2020,13244,295,5240,8004,2.23,39.57,1.023334878689538
04-10-2020,13555,319,6064,7491,2.35,44.74,1.0234823316218664
04-11-2020,13806,337,6604,7202,2.44,47.83,1.018517152342309
04-12-2020,13945,350,6987,6958,2.51,50.1,1.0100680863392728
04-13-2020,14041,368,7343,6698,2.62,52.3,1.006884187880961
04-14-2020,14226,384,7633,6593,2.7,53.66,1.013175699736486
04-15-2020,14336,393,8098,6238,2.74,56.49,1.0077323211022071
04-16-2020,14476,410,8986,5490,2.83,62.08,1.009765625
04-17-2020,14595,431,9704,4891,2.95,66.49,1.008220502901354
04-18-2020,14671,443,10214,4457,3.02,69.62,1.0052072627612196
04-19-2020,14749,452,10501,4248,3.06,71.2,1.005316611001295
04-20-2020,14795,470,10631,4164,3.18,71.86,1.003118855515628
04-21-2020,14873,491,10971,3902,3.3,73.76,1.0052720513687057
04-22-2020,14925,510,11328,3597,3.42,75.9,1.0034962684058362
04-23-2020,15002,522,11694,3308,3.48,77.95,1.0051591289782245
04-24-2020,15071,530,11872,3199,3.52,78.77,1.0045993867484335
04-25-2020,15148,536,12103,3045,3.54,79.9,1.0051091500232234
04-26-2020,15225,542,12282,2943,3.56,80.67,1.005083179297597
04-27-2020,15274,549,12362,2912,3.59,80.93,1.0032183908045977
04-28-2020,15357,569,12580,2777,3.71,81.92,1.0054340709702763
04-29-2020,15402,580,12779,2623,3.77,82.97,1.0029302598163703
