date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-30-2020,1,0,0,1,0.0,0.0,1
01-31-2020,1,0,0,1,0.0,0.0,1.0
02-01-2020,1,0,0,1,0.0,0.0,1.0
02-02-2020,2,0,0,2,0.0,0.0,2.0
02-03-2020,3,0,0,3,0.0,0.0,1.5
02-04-2020,3,0,0,3,0.0,0.0,1.0
02-05-2020,3,0,0,3,0.0,0.0,1.0
02-06-2020,3,0,0,3,0.0,0.0,1.0
02-07-2020,3,0,0,3,0.0,0.0,1.0
02-08-2020,3,0,0,3,0.0,0.0,1.0
02-09-2020,3,0,0,3,0.0,0.0,1.0
02-10-2020,3,0,0,3,0.0,0.0,1.0
02-11-2020,3,0,0,3,0.0,0.0,1.0
02-12-2020,3,0,0,3,0.0,0.0,1.0
02-13-2020,3,0,0,3,0.0,0.0,1.0
02-14-2020,3,0,0,3,0.0,0.0,1.0
02-15-2020,3,0,0,3,0.0,0.0,1.0
02-16-2020,3,0,3,0,0.0,100.0,1.0
02-17-2020,3,0,3,0,0.0,100.0,1.0
02-18-2020,3,0,3,0,0.0,100.0,1.0
02-19-2020,3,0,3,0,0.0,100.0,1.0
02-20-2020,3,0,3,0,0.0,100.0,1.0
02-21-2020,3,0,3,0,0.0,100.0,1.0
02-22-2020,3,0,3,0,0.0,100.0,1.0
02-23-2020,3,0,3,0,0.0,100.0,1.0
02-24-2020,3,0,3,0,0.0,100.0,1.0
02-25-2020,3,0,3,0,0.0,100.0,1.0
02-26-2020,3,0,3,0,0.0,100.0,1.0
02-27-2020,3,0,3,0,0.0,100.0,1.0
02-28-2020,3,0,3,0,0.0,100.0,1.0
02-29-2020,3,0,3,0,0.0,100.0,1.0
03-01-2020,3,0,3,0,0.0,100.0,1.0
03-02-2020,5,0,3,2,0.0,60.0,1.6666666666666665
03-03-2020,5,0,3,2,0.0,60.0,1.0
03-04-2020,28,0,3,25,0.0,10.71,5.6
03-05-2020,30,0,3,27,0.0,10.0,1.0714285714285714
03-06-2020,31,0,3,28,0.0,9.68,1.0333333333333334
03-07-2020,34,0,3,31,0.0,8.82,1.096774193548387
03-08-2020,39,0,3,36,0.0,7.69,1.1470588235294117
03-09-2020,43,0,3,40,0.0,6.98,1.1025641025641026
03-10-2020,56,0,4,52,0.0,7.14,1.302325581395349
03-11-2020,62,1,4,58,1.61,6.45,1.1071428571428572
03-12-2020,73,1,4,69,1.37,5.48,1.1774193548387097
03-13-2020,82,2,4,78,2.44,4.88,1.1232876712328768
03-14-2020,102,2,4,98,1.96,3.92,1.2439024390243902
03-15-2020,113,2,13,100,1.77,11.5,1.107843137254902
03-16-2020,119,2,13,106,1.68,10.92,1.0530973451327434
03-17-2020,142,3,14,128,2.11,9.86,1.1932773109243697
03-18-2020,156,3,14,142,1.92,8.97,1.0985915492957747
03-19-2020,194,4,15,179,2.06,7.73,1.2435897435897436
03-20-2020,244,5,20,224,2.05,8.2,1.2577319587628866
03-21-2020,330,4,23,307,1.21,6.97,1.3524590163934427
03-22-2020,396,7,24,372,1.77,6.06,1.2
03-23-2020,499,10,34,465,2.0,6.81,1.2601010101010102
03-24-2020,536,10,40,496,1.87,7.46,1.0741482965931863
03-25-2020,657,12,43,614,1.83,6.54,1.2257462686567164
03-26-2020,727,20,45,682,2.75,6.19,1.106544901065449
03-27-2020,887,20,73,814,2.25,8.23,1.220082530949106
03-28-2020,987,24,84,903,2.43,8.51,1.112739571589628
03-29-2020,1024,27,95,929,2.64,9.28,1.0374873353596759
03-30-2020,1251,32,102,1149,2.56,8.15,1.2216796875
03-31-2020,1397,35,123,1274,2.51,8.8,1.1167066346922463
04-01-2020,1998,58,148,1850,2.9,7.41,1.4302075876879026
04-02-2020,2543,72,191,2352,2.83,7.51,1.2727727727727727
04-03-2020,2567,72,192,2375,2.8,7.48,1.0094376720408966
04-04-2020,3082,86,229,2853,2.79,7.43,1.2006232956758862
04-05-2020,3588,99,229,3359,2.76,6.38,1.164179104477612
04-06-2020,4778,136,375,4403,2.85,7.85,1.3316610925306578
04-07-2020,5311,150,421,4890,2.82,7.93,1.1115529510255338
04-08-2020,5916,178,506,5410,3.01,8.55,1.1139145170401055
04-09-2020,6725,226,620,6105,3.36,9.22,1.1367478025693036
04-10-2020,7598,246,774,6824,3.24,10.19,1.129814126394052
04-11-2020,8446,288,969,7477,3.41,11.47,1.1116083179784153
04-12-2020,9205,331,1080,8125,3.6,11.73,1.0898650248638408
04-13-2020,10453,358,1181,9272,3.42,11.3,1.1355784899511134
04-14-2020,11487,393,1359,10128,3.42,11.83,1.098918970630441
04-15-2020,12322,405,1432,10890,3.29,11.62,1.0726908679376688
04-16-2020,13430,448,1768,11662,3.34,13.16,1.0899204674565817
04-17-2020,14352,486,2041,12311,3.39,14.22,1.0686522710349964
04-18-2020,15722,521,2463,13259,3.31,15.67,1.0954570791527314
04-19-2020,17615,559,2854,14761,3.17,16.2,1.1204045286859179
04-20-2020,18539,592,3273,15266,3.19,17.65,1.052455293783707
04-21-2020,20080,645,3975,16105,3.21,19.8,1.0831220669939048
04-22-2020,21370,681,4370,17000,3.19,20.45,1.0642430278884463
04-23-2020,23077,721,5012,18065,3.12,21.72,1.079878334113243
04-24-2020,24530,780,5498,19032,3.18,22.41,1.062963123456255
04-25-2020,26283,825,5939,20344,3.14,22.6,1.0714635140644109
04-26-2020,27890,881,6523,21367,3.16,23.39,1.0611421831602177
04-27-2020,29451,939,7137,22314,3.19,24.23,1.0559698816780207
04-28-2020,31324,1008,7747,23577,3.22,24.73,1.0635971613867101
04-29-2020,33062,1079,8437,24625,3.26,25.52,1.0554846124377475
04-30-2020,34863,1154,9068,25795,3.31,26.01,1.054473413586595
05-01-2020,37257,1223,10007,27250,3.28,26.86,1.0686687892608209
05-02-2020,39699,1323,10819,28880,3.33,27.25,1.0655447298494243
05-03-2020,42505,1391,11775,30730,3.27,27.7,1.0706818811556966
05-04-2020,46437,1566,12847,33590,3.37,27.67,1.0925067639101282
05-05-2020,49400,1693,14142,35258,3.43,28.63,1.063806878135969
05-06-2020,52987,1785,15331,37656,3.37,28.93,1.0726113360323886
05-07-2020,56351,1889,16776,39575,3.35,29.77,1.0634872704625662
05-08-2020,59695,1985,17887,41808,3.33,29.96,1.0593423364270376
05-09-2020,62808,2101,19301,43507,3.35,30.73,1.052148421140799
05-10-2020,67161,2212,20969,46192,3.29,31.22,1.0693064577760796
05-11-2020,70768,2294,22549,48219,3.24,31.86,1.0537067643424012
05-12-2020,74292,2415,24420,49872,3.25,32.87,1.0497965182003166
