date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-19-2020,1,0,0,1,0.0,0.0,1
03-20-2020,1,0,0,1,0.0,0.0,1.0
03-21-2020,1,0,0,1,0.0,0.0,1.0
03-22-2020,1,0,0,1,0.0,0.0,1.0
03-23-2020,1,0,0,1,0.0,0.0,1.0
03-24-2020,3,0,0,3,0.0,0.0,3.0
03-25-2020,3,0,0,3,0.0,0.0,1.0
03-26-2020,3,0,0,3,0.0,0.0,1.0
03-27-2020,3,0,0,3,0.0,0.0,1.0
03-28-2020,3,0,0,3,0.0,0.0,1.0
03-29-2020,3,0,0,3,0.0,0.0,1.0
03-30-2020,5,0,0,5,0.0,0.0,1.6666666666666665
03-31-2020,7,0,0,7,0.0,0.0,1.4
04-01-2020,7,0,0,7,0.0,0.0,1.0
04-02-2020,8,0,0,8,0.0,0.0,1.1428571428571428
04-03-2020,8,0,0,8,0.0,0.0,1.0
04-04-2020,9,0,0,9,0.0,0.0,1.125
04-05-2020,9,0,0,9,0.0,0.0,1.0
04-06-2020,9,0,0,9,0.0,0.0,1.0
04-07-2020,10,0,2,8,0.0,20.0,1.1111111111111112
04-08-2020,10,0,2,8,0.0,20.0,1.0
04-09-2020,11,0,2,9,0.0,18.18,1.1
04-10-2020,11,0,2,9,0.0,18.18,1.0
04-11-2020,11,0,2,9,0.0,18.18,1.0
04-12-2020,18,0,2,16,0.0,11.11,1.6363636363636362
04-13-2020,23,0,2,21,0.0,8.7,1.2777777777777777
04-14-2020,23,0,2,21,0.0,8.7,1.0
04-15-2020,23,0,2,21,0.0,8.7,1.0
04-16-2020,27,0,5,22,0.0,18.52,1.1739130434782608
04-17-2020,27,0,5,22,0.0,18.52,1.0
04-18-2020,33,0,8,25,0.0,24.24,1.2222222222222223
04-19-2020,33,0,8,25,0.0,24.24,1.0
04-20-2020,33,0,8,25,0.0,24.24,1.0
04-21-2020,33,0,8,25,0.0,24.24,1.0
04-22-2020,33,0,8,25,0.0,24.24,1.0
04-23-2020,33,0,8,25,0.0,24.24,1.0
04-24-2020,40,0,8,32,0.0,20.0,1.2121212121212122
04-25-2020,46,0,15,31,0.0,32.61,1.15
04-26-2020,46,0,15,31,0.0,32.61,1.0
04-27-2020,46,0,15,31,0.0,32.61,1.0
04-28-2020,52,2,19,33,3.85,36.54,1.1304347826086956
04-29-2020,52,2,19,33,3.85,36.54,1.0
04-30-2020,73,5,33,40,6.85,45.21,1.4038461538461537
05-01-2020,73,5,33,40,6.85,45.21,1.0
05-02-2020,117,10,39,78,8.55,33.33,1.6027397260273972
05-03-2020,117,10,39,78,8.55,33.33,1.0
05-04-2020,117,10,39,78,8.55,33.33,1.0
05-05-2020,170,17,43,127,10.0,25.29,1.452991452991453
05-06-2020,170,17,43,127,10.0,25.29,1.0
05-07-2020,253,27,50,203,10.67,19.76,1.488235294117647
05-08-2020,260,28,50,210,10.77,19.23,1.0276679841897234
05-09-2020,322,31,53,269,9.63,16.46,1.2384615384615385
05-10-2020,322,31,53,269,9.63,16.46,1.0
05-11-2020,322,31,53,269,9.63,16.46,1.0
05-12-2020,357,40,76,281,11.2,21.29,1.108695652173913
05-13-2020,372,42,78,294,11.29,20.97,1.0420168067226891
05-14-2020,399,46,83,316,11.53,20.8,1.0725806451612903
05-15-2020,428,48,88,340,11.21,20.56,1.0726817042606516
05-16-2020,474,50,111,363,10.55,23.42,1.1074766355140186
