date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,3,0,0,3,0.0,0.0,1
03-15-2020,6,0,0,6,0.0,0.0,2.0
03-16-2020,6,0,0,6,0.0,0.0,1.0
03-17-2020,7,0,0,7,0.0,0.0,1.1666666666666667
03-18-2020,7,0,0,7,0.0,0.0,1.0
03-19-2020,11,0,0,11,0.0,0.0,1.5714285714285714
03-20-2020,16,0,0,16,0.0,0.0,1.4545454545454546
03-21-2020,19,1,0,19,5.26,0.0,1.1875
03-22-2020,23,1,0,23,4.35,0.0,1.2105263157894737
03-23-2020,27,2,0,27,7.41,0.0,1.1739130434782608
03-24-2020,53,2,0,53,3.77,0.0,1.9629629629629628
03-25-2020,93,4,0,93,4.3,0.0,1.7547169811320755
03-26-2020,132,4,1,131,3.03,0.76,1.4193548387096775
03-27-2020,137,4,2,135,2.92,1.46,1.0378787878787878
03-28-2020,141,5,2,139,3.55,1.42,1.0291970802919708
03-29-2020,152,5,2,150,3.29,1.32,1.0780141843971631
03-30-2020,152,5,2,150,3.29,1.32,1.0
03-31-2020,161,5,31,130,3.11,19.25,1.0592105263157894
04-01-2020,195,5,31,164,2.56,15.9,1.2111801242236024
04-02-2020,204,5,31,173,2.45,15.2,1.0461538461538462
04-03-2020,205,5,31,174,2.44,15.12,1.0049019607843137
04-04-2020,205,5,31,174,2.44,15.12,1.0
04-05-2020,214,5,31,183,2.34,14.49,1.0439024390243903
04-06-2020,214,5,31,183,2.34,14.49,1.0
04-07-2020,287,5,31,256,1.74,10.8,1.3411214953271027
04-08-2020,313,6,34,279,1.92,10.86,1.0905923344947734
04-09-2020,378,6,3,375,1.59,0.79,1.207667731629393
04-10-2020,378,6,4,374,1.59,1.06,1.0
04-11-2020,408,8,4,404,1.96,0.98,1.0793650793650793
04-12-2020,566,8,4,562,1.41,0.71,1.3872549019607843
04-13-2020,566,8,4,562,1.41,0.71,1.0
04-14-2020,636,8,17,619,1.26,2.67,1.1236749116607774
04-15-2020,636,8,17,619,1.26,2.67,1.0
04-16-2020,641,8,83,558,1.25,12.95,1.0078616352201257
04-17-2020,641,8,83,558,1.25,12.95,1.0
04-18-2020,834,9,99,735,1.08,11.87,1.3010920436817472
04-19-2020,1042,9,99,943,0.86,9.5,1.249400479616307
04-20-2020,1042,9,99,943,0.86,9.5,1.0
04-21-2020,1042,9,99,943,0.86,9.5,1.0
04-22-2020,1154,9,99,1055,0.78,8.58,1.107485604606526
04-23-2020,1154,9,99,1055,0.78,8.58,1.0
04-24-2020,1279,10,134,1145,0.78,10.48,1.108318890814558
04-25-2020,1279,10,134,1145,0.78,10.48,1.0
04-26-2020,1550,11,155,1395,0.71,10.0,1.2118842845973417
04-27-2020,1550,11,155,1395,0.71,10.0,1.0
04-28-2020,1671,16,188,1483,0.96,11.25,1.0780645161290323
04-29-2020,1671,16,188,1483,0.96,11.25,1.0
04-30-2020,2074,17,212,1862,0.82,10.22,1.2411729503291442
05-01-2020,2074,17,212,1862,0.82,10.22,1.0
05-02-2020,2169,18,229,1940,0.83,10.56,1.045805207328833
05-03-2020,2169,18,229,1940,0.83,10.56,1.0
05-04-2020,2719,18,294,2425,0.66,10.81,1.2535730751498386
05-05-2020,2719,18,294,2425,0.66,10.81,1.0
05-06-2020,3091,18,294,2797,0.58,9.51,1.136815005516734
05-07-2020,3091,18,303,2788,0.58,9.8,1.0
05-08-2020,4012,18,323,3689,0.45,8.05,1.2979618246522162
05-09-2020,4263,22,378,3885,0.52,8.87,1.0625623130608175
05-10-2020,4263,22,378,3885,0.52,8.87,1.0
05-11-2020,4700,22,494,4206,0.47,10.51,1.1025099695050433
05-12-2020,5127,22,494,4633,0.43,9.64,1.0908510638297872
05-13-2020,5408,24,514,4894,0.44,9.5,1.054807879851765
05-14-2020,5530,24,674,4856,0.43,12.19,1.0225591715976332
05-15-2020,5638,28,1460,4178,0.5,25.9,1.0195298372513562
05-16-2020,5735,29,1754,3981,0.51,30.58,1.0172046825115288
05-17-2020,5735,29,1754,3981,0.51,30.58,1.0
05-18-2020,5735,29,1754,3981,0.51,30.58,1.0
05-19-2020,6096,31,1773,4323,0.51,29.08,1.0629468177855275
