date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,0,0,0,0,0,0,1
03-15-2020,6,0,0,6,0,0,1
03-16-2020,8,0,0,8,0,0,1.3333333333333333
03-17-2020,8,0,0,8,0,0,1.0
03-18-2020,10,0,0,10,0,0,1.25
03-19-2020,10,0,0,10,0,0,1.0
03-20-2020,10,0,0,10,0,0,1.0
03-21-2020,7,0,0,7,0,0,1.3
03-22-2020,7,0,0,7,0,0,1.0
03-23-2020,7,0,0,7,0,0,1.0
03-24-2020,7,0,0,7,0,0,1.0
03-25-2020,7,0,0,7,0,0,1.0
03-26-2020,7,0,0,7,0,0,1.0
03-27-2020,7,0,0,7,0,0,1.0
03-28-2020,7,0,0,7,0,0,1.0
03-29-2020,8,0,0,8,0,0,1.1428571428571428
03-30-2020,8,0,0,8,0,0,1.0
03-31-2020,8,0,0,8,0,0,1.0
04-01-2020,8,0,0,8,0,0,1.0
04-02-2020,10,0,0,10,0,0,1.25
04-03-2020,10,0,0,10,0,0,1.0
04-04-2020,10,0,0,10,0,0,1.0
04-05-2020,10,0,0,10,0,0,1.0
04-06-2020,10,0,0,10,0,0,1.0
04-07-2020,11,0,0,11,0,0,1.1
04-08-2020,11,0,0,11,0,0,1.0
04-09-2020,11,0,0,11,0,0,1.0
04-10-2020,11,0,0,11,0,0,1.0
04-11-2020,11,0,0,11,0,0,1.0
04-12-2020,11,0,0,11,0,0,1.0
04-13-2020,11,0,0,11,0,0,1.0
04-14-2020,11,0,0,11,0,0,1.0
04-15-2020,11,0,0,11,0,0,1.0
04-16-2020,11,0,0,11,0,0,1.0
04-17-2020,11,0,5,6,0,45.45,1.0
04-18-2020,11,0,5,6,0,45.45,1.0
04-19-2020,11,0,5,6,0,45.45,1.0
04-20-2020,11,0,5,6,0,45.45,1.0
04-21-2020,11,0,5,6,0,45.45,1.0
04-22-2020,11,0,5,6,0,45.45,1.0
04-23-2020,11,0,6,5,0,54.55,1.0
04-24-2020,11,0,6,5,0,54.55,1.0
04-25-2020,11,0,6,5,0,54.55,1.0
04-26-2020,11,0,6,5,0,54.55,1.0
04-27-2020,11,0,6,5,0,54.55,1.0
04-28-2020,11,0,6,5,0,54.55,1.0
04-29-2020,11,0,6,5,0,54.55,1.0
04-30-2020,11,0,6,5,0,54.55,1.0
05-01-2020,11,0,6,5,0,54.55,1.0
05-02-2020,11,0,6,5,0,54.55,1.0
05-03-2020,11,0,6,5,0,54.55,1.0
05-04-2020,11,0,6,5,0,54.55,1.0
05-05-2020,11,0,8,3,0,72.73,1.0
05-06-2020,11,0,8,3,0,72.73,1.0
05-07-2020,11,0,8,3,0,72.73,1.0
05-08-2020,11,0,8,3,0,72.73,1.0
05-09-2020,11,0,8,3,0,72.73,1.0
05-10-2020,11,0,10,1,0,90.91,1.0
05-11-2020,11,0,10,1,0,90.91,1.0
05-12-2020,11,0,10,1,0,90.91,1.0
05-13-2020,11,0,10,1,0,90.91,1.0
05-14-2020,11,0,10,1,0,90.91,1.0
05-15-2020,11,0,10,1,0,90.91,1.0
05-16-2020,11,0,10,1,0,90.91,1.0
05-17-2020,11,0,10,1,0,90.91,1.0
05-18-2020,11,0,11,0,0,100.0,1.0
05-19-2020,11,0,11,0,0,100.0,1.0
05-20-2020,11,0,11,0,0,100.0,1.0
05-21-2020,11,0,11,0,0,100.0,1.0
05-22-2020,11,0,11,0,0,100.0,1.0
05-23-2020,11,0,11,0,0,100.0,1.0
05-24-2020,11,0,11,0,0,100.0,1.0
05-25-2020,11,0,11,0,0,100.0,1.0
05-26-2020,11,0,11,0,0,100.0,1.0
05-27-2020,11,0,11,0,0,100.0,1.0
05-28-2020,11,0,11,0,0,100.0,1.0
05-29-2020,11,0,11,0,0,100.0,1.0
05-30-2020,11,0,11,0,0,100.0,1.0
05-31-2020,11,0,11,0,0,100.0,1.0
06-01-2020,11,0,11,0,0,100.0,1.0
06-02-2020,11,0,11,0,0,100.0,1.0
06-03-2020,11,0,11,0,0,100.0,1.0
06-04-2020,11,0,11,0,0,100.0,1.0
06-05-2020,11,0,11,0,0,100.0,1.0
06-06-2020,11,0,11,0,0,100.0,1.0
06-07-2020,11,0,11,0,0,100.0,1.0
06-08-2020,11,0,11,0,0,100.0,1.0
06-09-2020,11,0,11,0,0,100.0,1.0
06-10-2020,11,0,11,0,0,100.0,1.0
06-11-2020,11,0,11,0,0,100.0,1.0
06-12-2020,11,0,11,0,0,100.0,1.0
06-13-2020,11,0,11,0,0,100.0,1.0
06-14-2020,11,0,11,0,0,100.0,1.0
06-15-2020,11,0,11,0,0,100.0,1.0
06-16-2020,11,0,11,0,0,100.0,1.0
06-17-2020,11,0,11,0,0,100.0,1.0
06-18-2020,11,0,11,0,0,100.0,1.0
06-19-2020,11,0,11,0,0,100.0,1.0
06-20-2020,11,0,11,0,0,100.0,1.0
06-21-2020,11,0,11,0,0,100.0,1.0
06-22-2020,11,0,11,0,0,100.0,1.0
06-23-2020,11,0,11,0,0,100.0,1.0
06-24-2020,11,0,11,0,0,100.0,1.0
06-25-2020,11,0,11,0,0,100.0,1.0
06-26-2020,16,0,11,5,0,68.75,1.4545454545454546
06-27-2020,20,0,11,9,0,55.0,1.25
06-28-2020,70,0,11,59,0,15.71,3.5
06-29-2020,77,0,11,66,0,14.29,1.1
06-30-2020,81,0,11,70,0,13.58,1.051948051948052
07-01-2020,81,0,11,70,0,13.58,1.0
07-02-2020,81,0,11,70,0,13.58,1.0
